url_length,has_https,hyphen_count,subdomain_count,suspicious_keyword_count,has_ip_address,form_count,script_count,image_count,wallet_keyword_count,known_entity,official_domain_match,search_domain_frequency,url_probability,feature_probability,threat_count,ocr_text_length,malware_hits,network_requests,network_responses,wallet_requests,privacy_flags,domain_records
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,0,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,0,0.6748802065849304,0.6566442251205444,0,0,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,0,0.6748802065849304,0.6566442251205444,0,0,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,0,0.6748802065849304,0.6566442251205444,0,0,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,770,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,0,0.6748802065849304,0.6566442251205444,0,34182,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,34003,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,34144,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,0,0.6748802065849304,0.6566442251205444,0,34230,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,0,0.6748802065849304,0.6566442251205444,0,34105,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,0,0.6748802065849304,0.6566442251205444,0,34079,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,25597,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,0,0.6748802065849304,0.6566442251205444,0,26309,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,0,0.6748802065849304,0.6566442251205444,0,26002,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,26243,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,0,0.6748802065849304,0.6566442251205444,0,12915,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,0,0.6748802065849304,0.6566442251205444,0,26405,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,0,0.6748802065849304,0.6566442251205444,0,26393,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,0,0.6748802065849304,0.6566442251205444,0,26558,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,25968,4,6,0,0,3,2
27,0,1,2,0,0,1,0,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,26638,4,0,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,25711,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,0,0.6748802065849304,0.6566442251205444,0,26421,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,27652,4,5,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,26002,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,25996,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,25817,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,25373,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,25238,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,26425,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,0,0.6748802065849304,0.6566442251205444,0,27042,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,26028,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,24368,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,24758,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,26700,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,13182,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,26243,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,26851,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,27034,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,26844,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,27209,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,24177,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,0,0.6748802065849304,0.6566442251205444,0,25820,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,25841,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,26542,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,25526,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,26623,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,27117,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,0,0.6748802065849304,0.6566442251205444,0,24057,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,28024,4,5,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,25693,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,25879,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,26947,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,26799,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,26788,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,26713,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,0,0.6748802065849304,0.6566442251205444,0,25825,4,6,0,0,3,2
22,1,0,2,0,0,1,2,1,0,1,0,2,0.006137138232588768,0.6566442251205444,0,39320,4,12,1,0,3,2
22,1,0,2,0,0,1,2,1,0,1,0,4,0.006137138232588768,0.6566442251205444,0,39790,4,12,1,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,26229,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,0,0.6748802065849304,0.6566442251205444,0,25662,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,26742,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,25490,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,0,0.6748802065849304,0.6566442251205444,0,24251,4,5,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,26078,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,0,0.6748802065849304,0.6566442251205444,0,25903,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,24871,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,25217,4,6,0,0,3,2
27,0,1,2,0,0,1,1,0,0,0,0,1,0.6748802065849304,0.6566442251205444,0,24796,4,6,0,0,3,2
